SLNO,Name,Description,Category,Start,End,Duration,Total years
1,Google Optimize,Google Optimize was a web analytics and testing tool that allowed users to run experiments aimed at increasing visitor conversion rates and overall satisfaction,Service,2012,2023,2012 - 2023,11
2,Google Cloud IoT Core,"Google Cloud IoT Core was a managed service designed to let customers securely connect, manage, and ingest data from globally dispersed devices.",Service,2019,2023,2019 - 2023,4
3,Grasshopper,"Grasshopper was a free mobile and web app for aspiring programmers that taught introductory JavaScript and coding fundamentals using fun, bite-sized puzzles",App,2019,2023,2019 - 2023,4
4,Conversational Actions,"Conversational Actions extended the functionality of Google Assistant by allowing 3rd party developers to create custom experiences, or conversations, for users of Google Assistant",Service,2018,2023,2018 - 2023,5
5,Google Currents (2019),Google Currents was a service that provided social media features similar to Google+ for Google Workspace customers.,Service,2019,2023,2019 - 2023,4
6,Google Street View (standalone app),Google Street View app was an Android and iOS app that enabled people to get a 360 degree view of locations around the world,App,2010,2023,2010 - 2023,13
7,Jacquard,"Jacquard was a small tag to make it easier and more intuitive for people to interact with technology in their everyday lives, without having to constantly pull out their devices or touch screens.",Hardware,2014,2023,2014 - 2023,9
8,Google Code Competitions,"Google Code Jam, Kick Start, and Hash Code were competitive programming competitions open to programmers around the world.",Service,2003,2023,2003 - 2023,20
9,Google Stadia,"Google Stadia was a cloud gaming service combining a WiFi gaming controller and allowed users to stream gameplay through web browsers, TV, mobile apps, and Chromecast.",Service,2019,2023,2019 - 2023,4
10,Google OnHub,"Google OnHub was a series of residential wireless routers manufactured by Asus and TP-Link that were powered by Google software, managed by Google apps, and offered enhanced special features like Google Assistant.",Hardware,2015,2023,2015 - 2023,8
11,YouTube Originals,"Killed 3 months ago, YouTube Originals was a variety of original content including scripted series, educational videos, and music and celebrity programming.",Service,2016,2022,2016 - 2022,6
12,Threadit,Threadit was a tool for recording and sharing short videos.,App,2021,2022,2021 - 2022,1
13,Duplex on the Web,Duplex on the Web was a Google Assistant technology that automated tasks on the web on behalf of a user; such as booking movie tickets or making restaurant reservations.,Service,2019,2022,2019 - 2022,3
14,Google Hangouts,Google Hangouts was a cross-platform instant messaging service.,Service,2013,2022,2013 - 2022,9
15,Google Surveys,Google Surveys was a business product by Google aimed at facilitating customized market research.,Service,2012,2022,2012 - 2022,10
16,YouTube Go,YouTube Go was an app aimed at making YouTube easier to access on mobile devices in emerging markets through special features like downloading video on wifi for viewing later.,App,2017,2022,2017 - 2022,5
17,Google My Business (app),Google My Business was an app that allowed businesses to manage their Google Maps Business profiles.,App,2018,2022,2018 - 2022,4
18,Google Chrome Apps,Google Chrome Apps were hosted or packaged web applications that ran on the Google Chrome browser.,Service,2010,2022,2010 - 2022,12
19,Kormo Jobs,"Kormo Jobs was an app that allowed users in primarily India, Indonesia, and Bangladesh to help them find jobs nearby that match their skills and interests.",App,2019,2022,2019 - 2022,3
20,Android Auto for phone screens,"Android Auto for phone screens was an app that allowed the screen of the phone to be used as an Android Auto interface while driving, intended for vehicles that did not have a compatible screen built in. It was over 2 years old.",App,2019,2022,2019 - 2022,3
21,Google Duo,Google Duo was a video calling app that allowed people to call someone from their contact list.,Service,2016,2022,2016 - 2022,6
22,G Suite (Legacy Free Edition),G Suite (Legacy Free Edition) was a free tier offering some of the services included in Google's productivity suite.,Service,2006,2022,2006 - 2022,16
23,Google Assistant Snapshot,Google Assistant Snapshot was the successor to Google Now that provided predictive cards with information and daily updates in the Google app for Android and iOS.,Service,2018,2022,2018 - 2022,4
24,Cameos on Google,Cameos on Google allowed celebrities and other public figures to record video responses to the most common questions asked about them which would be shown to users in Google Search results.,Service,2018,2022,2018 - 2022,4
25,Android Things,Android Things was an Android-based embedded operating system (originally named Brillo) aimed to run on Internet of Things (IoT) devices.,Service,2015,2022,2015 - 2022,7
26,AngularJS,AngularJS was a JavaScript open-source front-end web framework based on MVC pattern using a dependency injection technique.,Service,2010,2021,2010 - 2021,11
27,Streams,"Streams was a ""clinician support app"" which aimed to improve clinical decision-making and patient safety across hospitals in the United Kingdom.",App,2017,2021,2017 - 2021,4
28,Material Gallery,"Material Gallery is a collaboration tool for UI designers, optimized for Google's Material Design, with mobile preview apps and a Sketch plugin.",Service,2018,2021,2018 - 2021,3
29,Google Toolbar,Google Toolbar was a web browser toolbar that provided a search box in web browsers like Internet Explorer and Firefox.,Service,2000,2021,2000 - 2021,21
30,Google Sites (Classic),Google Sites (Classic) allowed users to build and edit websites and wiki portals for private and public use.,Service,2008,2021,2008 - 2021,13
31,Your News Update,"Your News Update was a service that offered an audio digest of a mix of short news stories chosen at that moment based on a user's interests, location, user history, and preferences, as well as the top news stories out there.",Service,2019,2021,2019 - 2021,2
32,Google My Maps,My Maps was an Android application that enabled users to create custom maps for personal use or sharing on their mobile device.,App,2014,2021,2014 - 2021,7
33,Backup and Sync,Backup and Sync was a desktop software tool for Windows and macOS that allowed users to sync files from Google Drive to their local machine.,App,2017,2021,2017 - 2021,4
34,Google Bookmarks,Google Bookmarks was a private web-based bookmarking service not integrated with any other Google services.,Service,2005,2021,2005 - 2021,16
35,Chatbase,"Analytics platform for Google's Dialogflow chatbot & others, started by the Google-funded Area120 incubator then retired and partially merged into Dialogflow itself.",Service,2017,2021,2017 - 2021,4
36,VR180 Creator,VR180 Creator allowed users to edit video taken on 180-degree and 360-degree devices on multiple operating systems.,App,2018,2021,2018 - 2021,3
37,Posts on Google,Posts on Google allowed notable individuals with knowledge graph panels to author specific content that would appear in Google Search results.,Service,2012,2021,2012 - 2021,9
38,Fitbit Coach,Fitbit Coach (formerly Fitstar) was a video-based bodyweight workout app that used AI to personalize workouts based on user feedback.,App,2013,2021,2013 - 2021,8
39,Fitstar Yoga,Fitstar Yoga was a video-based yoga app that created unique yoga sessions based on user preference and skill level.,App,2014,2021,2014 - 2021,7
40,Tour Builder,Tour Builder allowed users to create and share interactive tours inside Google Earth with photos and videos of locations.,Service,2013,2021,2013 - 2021,8
41,Expeditions,"Expeditions is a program for providing virtual reality experiences to school classrooms through Google Cardboard viewers, allowing educators to take their students on virtual field trips.",App,2015,2021,2015 - 2021,6
42,Tour Creator,"Tour Creator allowed users to build immersive, 360° guided tours that could be viewed with VR devices.",App,2018,2021,2018 - 2021,3
43,Poly,Poly was a distribution platform for creators to share 3D objects.,Service,2017,2021,2017 - 2021,4
44,Google Play Movies & TV,"Google Play Movies & TV, originally Google TV, was an app used to view purchased and rented media and was ultimately replaced with YouTube.",App,2011,2021,2011 - 2021,10
45,Measure,Measure allowed users to take measurements of everyday objects with their device's camera utilizing ARCore technology.,App,2016,2021,2016 - 2021,5
46,Zync Render,Zync render was a cloud render platform for animation and visual effects.,Service,2014,2021,2014 - 2021,7
47,Timely,"Timely Alarm Clock was an Android application providing an alarm, stopwatch, and timer functionality with synchronization across devices.",App,2013,2021,2013 - 2021,8
48,Polymer,Polymer was an open-source JS library for web components,Service,2015,2021,2015 - 2021,6
49,Google Shopping Mobile App,"The Google Shopping Mobile App, which had absorbed Google Express when it launched, provided a native shopping experience with a personalized homepage for mobile users. It is now retired and the functionality lives on in the Shopping Tab.",App,2019,2021,2019 - 2021,2
50,Google Public Alerts,Google Public Alerts was an online notification service owned by Google.org that sends safety alerts to various countries.,Service,2012,2021,2012 - 2021,9
51,Google Go Links,(also known as Google Short Links) was a URL shortening service. It also supported custom domain for customers of Google Workspace (formerly G Suite (formerly Google Apps)).,Service,2010,2021,2010 - 2021,11
52,Google Crisis Map,"Google Crisis Map was a website that allowed to create, publish, and share maps by combining layers from anywhere on the web.",Service,2011,2021,2011 - 2021,10
53,Google Cardboard,"Google Cardboard was a low-cost, virtual reality (VR) platform named after its folded cardboard viewer into which a smartphone was inserted.",Hardware,2014,2021,2014 - 2021,7
54,Swift for TensorFlow,Swift for TensorFlow (S4TF) was a next-generation platform for machine learning with a focus on differentiable programming.,Service,2018,2021,2018 - 2021,3
55,Tilt Brush,"Tilt Brush was a room-scale 3D-painting virtual-reality application available from Google, originally developed by Skillman & Hackett.",App,2016,2021,2016 - 2021,5
56,Loon,Loon was a service to provide internet access via an array of high-altitude balloons hovering in the Earth's stratosphere,Service,2014,2021,2014 - 2021,7
57,App Maker,App Maker was a tool that allowed its users to build and deploy custom business apps easily and securely on the web without writing much code.,Service,2016,2021,2016 - 2021,5
58,Google Cloud Print,"Google Cloud Print allowed users to 'print from anywhere;' to print from web, desktop, or mobile to any Google Cloud Print-connected printer.",Service,2010,2020,2010 - 2020,10
59,Google Home Max,"Google Home Max was a large, stereo smart speaker with two tweeters and subwoofers, aux input, and a USB-C input (for wired ethernet) featuring Smart Sound machine learning technology.",Hardware,2017,2020,2017 - 2020,3
60,Science Journal,Science Journal was a mobile app that helped you run science experiments with your smartphone using the device's onboard sensors.,App,2016,2020,2016 - 2020,4
61,YouTube VR (SteamVR),YouTube VR allowed you to easily find and watch 360 videos and virtual reality content with SteamVR-compatible headsets.,App,2017,2020,2017 - 2020,3
62,Trusted Contacts,Trusted Contacts was an app that allowed users to share their location and view the location of specific users.,App,2016,2020,2016 - 2020,4
63,Google Play Music,"Google Play Music was a music and podcast streaming service, and online music locker.",Service,2011,2020,2011 - 2020,9
64,Nest Secure,"Nest Secure was a security system with an alarm, keypad, and motion sensor with an embedded microphone.",Hardware,2017,2020,2017 - 2020,3
65,YouTube Community Contributions,"YouTube Community Contributions allowed users to contribute translations for video titles or submit descriptions, closed captions or subtitles on YouTube content.",Service,2016,2020,2016 - 2020,4
66,Hire by Google,"Google Hire was an applicant tracking system to help small to medium businesses distribute jobs, identify and attract candidates, build strong relationships with candidates, and efficiently manage the interview process.",Service,2017,2020,2017 - 2020,3
67,Password Checkup extension,Password Checkup provided a warning to users if they were using a username and password combination checked against over 4 billion credentials that Google knew to be unsafe.,App,2019,2020,2019 - 2020,1
68,Playground AR,Playground AR (aka AR Stickers) allowed users to place virtual characters and objects in augmented reality via the Camera App on Pixel phones.,App,2017,2020,2017 - 2020,3
69,Focals by North,"Focals were a custom-built smart glasses product with a transparent, holographic display that allowed users to read and respond to text messages, navigate turn-by-turn directions, check the weather, and integrate with third-party services like Uber and Amazon Alexa.",Hardware,2019,2020,2019 - 2020,1
70,CallJoy,CallJoy was an Area 120 project that provided phone automation for small-to-medium businesses allowing them to train the bot agent with responses to common customer questions.,App,2019,2020,2019 - 2020,1
71,Google Photos Print,Google Photos Print was a subscription service that automatically selected the best ten photos from the last thirty days which were mailed to user's homes.,Service,2020,2020,2020 - 2020,0
72,Pigeon Transit,"Pigeon Transit was a transit app that used crowdsourced information about delays, crowded trains, escalator outages, live entertainment, dirty or unsafe conditions.",App,2018,2020,2018 - 2020,2
73,Enhanced 404 Pages,Enhanced 404 Pages was a JavaScript library that added suggested URLs and a search box to a website's 404 Not Found page.,Service,2008,2020,2008 - 2020,12
74,Shoelace,Shoelace was an app used to find group activities with others who share your interests.,App,2019,2020,2019 - 2020,1
75,Neighbourly,"Neighbourly was a mobile app designed to help you learn about your neighborhood by asking other residents, and find out about local services and facilities in your area from people who live around you.",App,2018,2020,2018 - 2020,2
76,Fabric,"Fabric was a platform that helped mobile teams build better apps, understand their users, and grow their business.",Service,2014,2020,2014 - 2020,6
77,Google Contributor,"Google Contributor was a program run by Google that allowed users in the Google Network of content sites to view the websites without any advertisements that are administered, sorted, and maintained by Google.",Service,2014,2020,2014 - 2020,6
78,Material Theme Editor,Material Theme Editor is a plugin for Sketch App which allows you to create a material-based design system for your app.,App,2018,2020,2018 - 2020,2
79,Google Station,"Google Station is a service that gives partners an easy set of tools to roll out Wi-Fi hotspots in public places. Google Station provides software and guidance on hardware to turn fiber connections into fast, reliable, and safe Wi-Fi zones.",Service,2015,2020,2015 - 2020,5
80,One Today,One Today was an app that allowed users to donate $1 to different organizations and discover how their donation would be used.,App,2013,2020,2013 - 2020,7
81,Androidify,Androidify allowed users to create a custom Android avatar for themselves and others.,App,2011,2020,2011 - 2020,9
82,Google Fiber TV,Google Fiber TV was an IPTV service that was bundled with Google Fiber.,Service,2012,2020,2012 - 2020,8
83,Field Trip,Field Trip was a mobile app that acted as a virtual tour guide by cross-referencing multiple sources of information to provide users information about points of interest near them.,App,2012,2019,2012 - 2019,7
84,AdSense (mobile app),AdSense (mobile app) allowed users to manage their AdSense accounts in a native app for iOS and Android.,App,2013,2019,2013 - 2019,6
85,Google Correlate,Google Correlate was a service that provided users information about how strongly the frequency of multiple search terms correlates with each other over a specified time interval.,Service,2011,2019,2011 - 2019,8
86,Google Translator Toolkit,Google Translator Toolkit was a web application which allowed translators to edit and manage translations generated by Google Translate.,Service,2009,2019,2009 - 2019,10
87,Google Fusion Tables,"Google Fusion Tables was a web service for data management that provided a means for visualizing data in different charts, maps, and graphs.",Service,2009,2019,2009 - 2019,10
88,Google Bulletin,Google Bulletin was a hyperlocal news service where users could post news from their neighborhood and allow others in the same areas to hear those stories.,Service,2018,2019,2018 - 2019,1
89,Touring Bird,"Touring Bird was an Area 120 incubator project which helped users compare prices, book tours, tickets, and experiences, and learn about top destinations around the world.",Service,2018,2019,2018 - 2019,1
90,Game Builder,Game Builder was a multiplayer 3D game environment for creating new games without coding experience.,App,2019,2019,2019 - 2019,0
91,Datally,"Killed over 3 years ago, Datally (formerly Triangle) was a smart app by Google that helped you save, manage, and share your mobile data.",App,2017,2019,2017 - 2019,2
92,Google Clips,Google Clips was a miniature clip-on camera that could automatically capture interesting or relevant video clips determined by machine learning algorithms.,Hardware,2017,2019,2017 - 2019,2
93,Google Daydream,Google Daydream was a virtual reality platform and set of hardware devices that worked with certain Android phones.,Hardware,2016,2019,2016 - 2019,3
94,YouTube Leanback,YouTube Leanback was an optimized version of YouTube used for television web browsers and WebView application wrappers.,Service,2010,2019,2010 - 2019,9
95,Message Center,Message Center is a web console where Gmail users view and manage spam email messages.,Service,2013,2019,2013 - 2019,6
96,Follow Your World,Follow Your World allowed users to register points of interest on Google Maps and receive email updates whenever the imagery is updated.,Service,2011,2019,2011 - 2019,8
97,G Suite Training,G Suite Training (previously known as Synergyse) provided interactive and video-based training for 20 Google G Suite products in nine languages through a website and a Chrome extension.,Service,2013,2019,2013 - 2019,6
98,YouTube Messages,YouTube Messages was a direct messaging feature that allowed users to share and discuss videos one-on-one and in groups on YouTube.,Service,2017,2019,2017 - 2019,2
99,YouTube for Nintendo 3DS,YouTube for Nintendo 3DS allowed users to stream YouTube videos on the portable gaming console.,App,2013,2019,2013 - 2019,6
100,Works with Nest API,Works with Nest was an API that allowed external services to access and control Nest devices. This enabled the devices to be used with third-party home automation platforms and devices.,Service,2014,2019,2014 - 2019,5
101,Google Trips,"Google Trips was a mobile app that allowed users to plan for upcoming travel by facilitating flight, hotel, car, and restaurant reservations from user's email alongside summarized info about the user's destination.",App,2016,2019,2016 - 2019,3
102,Hangouts on Air,Hangouts on Air allowed users to host a multi-user video call while recording and streaming the call on YouTube.,Service,2011,2019,2011 - 2019,8
103,Personal Blocklist,Personal Blocklist was a Chrome Web Extension by Google that allowed users to block certain websites from appearing in Google search results.,Service,2011,2019,2011 - 2019,8
104,Dragonfly,Dragonfly was a search engine designed to be compatible with China's state censorship provisions.,Service,2018,2019,2018 - 2019,1
105,Google Jump,Google Jump was a cloud-based VR media solution that enabled 3D-360 media production by integrating customized capture solutions with best-in-class automated stitching.,Service,2015,2019,2015 - 2019,4
106,Blog Compass,Blog Compass was a blog management tool that integrated with WordPress and Blogger available only in India.,App,2018,2019,2018 - 2019,1
107,Areo,"Areo was a mobile app that allowed users in Bangalore, Mumbai, Delhi, Gurgaon, and Pune to order meals from nearby restaurants or schedule appointments with local service professionals, including electricians, painters, cleaners, plumbers, and more.",App,2017,2019,2017 - 2019,2
108,YouTube Gaming,YouTube Gaming was a video gaming-oriented service and app for videos and live streaming.,Service,2015,2019,2015 - 2019,4
109,Google Cloud Messaging (GCM),Google Cloud Messaging (GCM) was a notification service that enabled developers to send messages between servers and client apps running on Android or Chrome.,Service,2012,2019,2012 - 2019,7
110,Data Saver Extension for Chrome,Data Saver was an extension for Chrome that routed web pages through Google servers to compress and reduce the user's bandwidth.,Service,2015,2019,2015 - 2019,4
111,Inbox by Gmail,Inbox by Gmail aimed to improve email through several key features.,Service,2015,2019,2015 - 2019,4
112,Google+,Google+ was an Internet-based social network.,Service,2011,2019,2011 - 2019,8
113,Google URL Shortener,"Google URL Shortener, also known as goo.gl, was a URL shortening service.",Service,2009,2019,2009 - 2019,10
114,Google Spotlight Stories,Google Spotlight Stories was an app and content studio project which created immersive stories for mobile and VR.,Service,2013,2019,2013 - 2019,6
115,Google Allo,"Google Allo was an instant messaging mobile app for Android, iOS, and Web with special features like a virtual assistant and encrypted mode.",App,2016,2019,2016 - 2019,3
116,Google Notification Widget (Mr. Jingles),Mr. Jingles (aka Google Notification Widget) displayed alerts and notifications from across multiple Google services.,Service,2015,2019,2015 - 2019,4
117,YouTube Video Annotations,"YouTube Video Annotations allowed video creators to add interactive commentary to their videos containing background information, branching (""choose your own adventure"" style) stories, or links to any YouTube video, channel, or search results page.",Service,2008,2019,2008 - 2019,11
118,Google Realtime API,Google Realtime API provided ways to synchronize resources between devices. It operated on files stored on Google Drive.,Service,2013,2019,2013 - 2019,6
119,Chromecast Audio,Chromecast Audio was a device that allowed users to stream audio from any device to any speaker with an audio input.,Hardware,2015,2019,2015 - 2019,4
120,Google Search Appliance,Google Search Appliance was a rack-mounted device that provided document indexing functionality.,Hardware,2002,2018,2002 - 2018,16
121,Google Nearby Notifications,Google Nearby Notifications were a proximity marketing tool using Bluetooth beacons and location-based data to serve content relevant to an Android user's real-world location.,Service,2015,2018,2015 - 2018,3
122,Google Pinyin IME,"Google Pinyin IME was an input method that allowed users on multiple operating systems to input characters from pinyin, the romanization of Standard Mandarin Chinese.",Service,2007,2018,2007 - 2018,11
123,Google News & Weather,Google News & Weather was a news aggregator application available on the Android and iOS operating systems.,App,2016,2018,2016 - 2018,2
124,Reply,Reply was a mobile app that let users insert Smart Replies (pre-defined replies) into conversations on messaging apps.,App,2018,2018,2018 - 2018,0
125,Tez,"Tez was a mobile payments service by Google, targeted at users in India. It was rebranded to Google Pay.",Service,2017,2018,2017 - 2018,1
126,Google Goggles,Google Goggles was used for searches based on pictures taken by handheld devices.,Service,2010,2018,2010 - 2018,8
127,Save to Google Chrome Extension,Save to Google Chrome Extension enabled you to quickly save a page link with image and tags to a Pocket-like app.,Service,2016,2018,2016 - 2018,2
128,Google Play Newsstand,Google Play Newsstand was a news aggregator and digital newsstand service.,App,2013,2018,2013 - 2018,5
129,Encrypted Search,Encrypted Search provided users with anonymous internet searching.,Service,2010,2018,2010 - 2018,8
130,Google Cloud Prediction API,"Google Cloud Prediction API was a PaaS for machine learning (ML) functionality to help developers build ML models to create application features such as recommendation systems, spam detection, and purchase prediction.",Service,2010,2018,2010 - 2018,8
131,qpx-express-API,"A service that Google developed for long-tail travel clients. ITA Software will create a new, easier way for users to find better flight information online, which should encourage more users to make their flight purchases online.",Service,2010,2018,2010 - 2018,8
132,Google Site Search,Google's Site Search was a service that enabled any website to add a custom search field powered by Google.,Service,2008,2018,2008 - 2018,10
133,reCAPTCHA Mailhide,reCAPTCHA Mailhide allowed users to mask their email address behind a captcha to prevent robots from scraping the email and sending spam.,Service,2010,2018,2010 - 2018,8
134,SoundStage,SoundStage was a virtual reality music sandbox built specifically for room-scale VR.,Service,2016,2018,2016 - 2018,2
135,Project Tango,Project Tango was an API for augmented reality apps that was killed and replaced by ARCore.,Service,2014,2017,2014 - 2017,3
136,Google Portfolios,Portfolios was a feature available in Google Finance to track personal financial securities.,Service,2006,2017,2006 - 2017,11
