SLNO,Name,Description,Category,Start,End,Duration,Total years
137,YouTube Video Editor,"YouTube Video Editor was a web-based tool for editing, merging, and adding special effects to video content.",Service,2010,2017,2010 - 2017,7
138,Trendalyzer,Trendalyzer was a data trend viewing platform.,Service,2007,2017,2007 - 2017,10
139,Glass OS,Glass OS (Google XE) was a version of Google's Android operating system designed for Google Glass.,Service,2013,2017,2013 - 2017,4
140,Google Map Maker,Google Map Maker was a mapping and map editing service where users were able to draw features directly onto a map.,Service,2008,2017,2008 - 2017,9
141,Chromebook Pixel,"Chromebook Pixel was a first-of-its-kind laptop built by Google that ran Chrome OS, a Linux kernel-based operating system.",Hardware,2013,2017,2013 - 2017,4
142,Google Spaces,Google Spaces was an app for group discussions and messaging.,Service,2016,2017,2016 - 2017,1
143,Google Hands Free,Google Hands Free was a mobile payment system that allowed users to pay their bill using Bluetooth to connect to payment terminals by saying 'I'll pay with Google.',Service,2016,2017,2016 - 2017,1
144,Build with Chrome,Build with Chrome was a collaboration between Chrome and the LEGO Group that allowed users to build and publish LEGO creations to any digital plot of land in the world through Google Maps.,Service,2014,2017,2014 - 2017,3
145,Gesture Search,"Google Gesture Search allowed users to search contacts, applications, settings, music, and bookmark on their Android device by drawing letters or numbers onto the screen.",App,2010,2017,2010 - 2017,7
146,Panoramio,Panoramio was a geo-location tagging and photo sharing product. It was about 11 years old.,Service,2005,2016,2005 - 2016,11
147,Google Showtimes,Google Showtimes was a standalone movie search result page.,Service,2005,2016,2005 - 2016,11
148,Pixate,"Pixate was a platform for creating sophisticated animations and interactions, and refining your designs through 100% native prototypes for iOS and Android.",App,2012,2016,2012 - 2016,4
149,Google Nexus,"Google Nexus was Google's line of flagship Android phones, tablets, and accessories.",Hardware,2010,2016,2010 - 2016,6
150,Together,Together was a watch face for Android Wear that let two users link their watches together to share small visual messages.,App,2015,2016,2015 - 2016,1
151,Project Ara,Project Ara was a modular smartphone project under development by Google.,Hardware,2013,2016,2013 - 2016,3
152,Web Hosting in Google Drive,"Web hosting in Google Drive allowed users to publish live websites by uploading HTML, CSS, and other files.",Service,2012,2016,2012 - 2016,4
153,Google Swiffy,Google Swiffy was a web-based tool that converted SWF files to HTML5.,Service,2011,2016,2011 - 2016,5
154,Google Wallet Card,Google Wallet Card was a prepaid debit card that let users pay for things in person and online using their Wallet balance at any retailer that accepted MasterCard.,Hardware,2013,2016,2013 - 2016,3
155,Nexus Player,"Nexus Player was a digital media player that allowed users to play music, watch video originating from Internet services or a local network, and play games.",Hardware,2014,2016,2014 - 2016,2
156,Revolv,Revolv was a monitoring and control system that allowed users to control their connected devices from a single hub.,Hardware,2012,2016,2012 - 2016,4
157,Freebase,"Freebase was a large collaborative knowledge base consisting of structured data composed mainly by its community members, developed by Metaweb(acquired by Google).",Service,2007,2016,2007 - 2016,9
158,Google Now,Google Now was a feature of Google Search that offered predictive cards with information and daily updates in Chrome and the Google app for Android and iOS.,Service,2012,2016,2012 - 2016,4
159,MyTracks,"MyTracks was a GPS tracking application for Android which allowed users to track their path, speed, distance, and elevation.",App,2009,2016,2009 - 2016,7
160,uWeave,uWeave (pronounced “micro weave”) was an implementation of the Weave protocol intended for use on microcontroller-based devices.,App,2015,2016,2015 - 2016,1
161,Google Compare,"Google Compare allowed consumers to compare several offers ranging from insurance, mortgage, and credit cards.",Service,2015,2016,2015 - 2016,1
162,Google Maps Coordinate,Google Maps Coordinate was a service for managing mobile workforces with the help of mobile apps and a web-based dashboard.,Service,2012,2016,2012 - 2016,4
163,Pie,Pie was a work-centric group chat website and app comparable to Slack.,Service,2013,2016,2013 - 2016,3
164,Google Maps Engine,Google Maps Engine was an online tool for map creation. It enabled you to create layered maps using your data as well as Google Maps data.,Service,2013,2016,2013 - 2016,3
165,Songza,Songza was a free music streaming service that would recommend its users' various playlists based on time of day and mood or activity.,Service,2007,2016,2007 - 2016,9
166,Google Code,"Google Code was a service that provided revision control, an issue tracker, and a wiki for code documentation.",Service,2005,2016,2005 - 2016,11
167,Google Blog Search API,Google Blog Search API was a way to search blogs utilizing Google.,Service,2005,2015,2005 - 2015,10
168,Google Earth Browser Plug-in,Google Earth Browser Plug-in allowed developers to embed Google Earth into web pages and included a JavaScript API for custom 3D drawing and interaction.,Service,2008,2015,2008 - 2015,7
169,Timeful,"Timeful was an iOS to-do list and calendar application, developed to reinvent the way that people manage their most precious resource of time.",App,2012,2015,2012 - 2015,3
170,Picasa,Picasa was an image organizer and image viewer for organizing and editing digital photos.,Service,2002,2015,2002 - 2015,13
171,Google Flu Trends,Google Flu Trends was a service attempting to make accurate predictions about flu activity.,Service,2008,2015,2008 - 2015,7
172,Google Catalogs,Google Catalogs was a shopping application that delivered the virtual catalogs of large retailers to users.,Service,2011,2015,2011 - 2015,4
173,Google Moderator,"Google Moderator was a service that used crowdsourcing to rank user-submitted questions, suggestions, and ideas.",Service,2008,2015,2008 - 2015,7
174,Android @ Home,"Android @ Home allowed a user’s device to discover, connect, and communicate with devices and appliances in the home.",Service,2011,2015,2011 - 2015,4
175,Google Helpouts,Google Helpouts was an online collaboration service where users could share their expertise through live video.,Service,2013,2015,2013 - 2015,2
176,YouTube for PS Vita,YouTube for PlayStation Vita was a native YouTube browsing and viewing application for the PS Vita and PSTV game consoles.,App,2012,2015,2012 - 2015,3
177,BebaPay,"BebaPay was a form of electronic ticketing platform in Nairobi, Kenya that was developed by Google in partnership with Equity Bank.",Service,2013,2015,2013 - 2015,2
178,Google Play Edition,Google Play Edition devices were a series of Android smartphones and tablets sold by Google.,Hardware,2013,2015,2013 - 2015,2
179,Google Glass Explorer Edition,Google Glass Explorer Edition was a wearable computer with an optical head-mounted display and camera that allows the wearer to interact with various applications and the Internet via natural language voice commands.,Hardware,2013,2015,2013 - 2015,2
180,Word Lens,Word Lens translated text in real time on images by using the viewfinder of a device's camera without the need of an internet connection; The technology was rolled into Google Translate.,App,2010,2015,2010 - 2015,5
181,Orkut,Orkut was a social network designed to help users meet new and old friends and maintain existing relationships.,Service,2004,2014,2004 - 2014,10
182,Google TV,Google TV was a smart TV platform that integrated Android and Chrome to create an interactive television overlay.,Hardware,2010,2014,2010 - 2014,4
183,Quickoffice,"Quickoffice was a productivity suite for mobile devices which allowed the viewing, creating and editing of documents, presentations and spreadsheets.",App,2013,2014,2013 - 2014,1
184,Google Questions and Answers,Google Questions and Answers was a free knowledge market that allowed users to collaboratively find answers to their questions.,Service,2007,2014,2007 - 2014,7
185,Wildfire Interactive,"Wildfire by Google was a social marketing application that enabled businesses to create, optimize and measure their presence on social networks.",Service,2012,2014,2012 - 2014,2
186,BufferBox,BufferBox was a Canadian startup that provided consumers 24/7 convenience of picking up their online purchases.,Service,2012,2014,2012 - 2014,2
187,SlickLogin,"SlickLogin was an Israeli start-up company which developed sound-based password alternatives, was acquired by Google and hasn't released anything since.",Service,2013,2014,2013 - 2014,1
188,Google Schemer,Google Schemer was a Google service for sharing and discovering things to do.,Service,2011,2014,2011 - 2014,3
189,Google Chrome Frame,Google Chrome Frame was a plugin for Internet Explorer that allowed web pages to be displayed using WebKit and the V8 JavaScript engine.,Service,2010,2014,2010 - 2014,4
190,Google Notifier,Google Notifier alerted users to new emails on their Gmail account.,Service,2005,2014,2005 - 2014,9
191,Bump!,"Bump! is a discontinued iOS and Android mobile app that enables smartphone users to transfer contact information, photos, and files between devices.",App,2009,2014,2009 - 2014,5
192,Google Offers,"Google Offers was a service offering discounts and coupons. Initially, it was a deal of the day website similar to Groupon.",Service,2011,2014,2011 - 2014,3
193,Google Currents,"Google Currents was a social magazine app by Google, which was replaced by Google Play Newsstand.",App,2011,2013,2011 - 2013,2
194,Google Checkout,Google Checkout was an online payment processing service that aimed to simplify the process of paying for online purchases.,Service,2006,2013,2006 - 2013,7
195,Google Trader,"Google Trader was a classifieds service run by Google in Ghana, Uganda, Kenya, and Nigeria to help customers trade goods and services online.",Service,2010,2013,2010 - 2013,3
196,iGoogle,iGoogle was a customizable Ajax-based start page or personal web portal.,Service,2005,2013,2005 - 2013,8
197,Google Latitude,"Google Latitude was a location-aware feature of Google Maps, a successor to an earlier SMS-based service Dodgeball.",Service,2009,2013,2009 - 2013,4
198,Google Reader,Google Reader was an RSS/Atom feed aggregator.,Service,2005,2013,2005 - 2013,8
199,Nexus Q,Nexus Q was a digital media player that allowed users with Android devices to stream content from supported services to a connected television or speakers via an integrated amplifier.,Hardware,2012,2013,2012 - 2013,1
200,Punchd,Punchd was a digital loyalty card app and service targeted towards small businesses that originated as a student project at Cal Poly in 2009 and was acquired by Google in 2011.,Service,2011,2013,2011 - 2013,2
201,Building Maker,Building Maker enabled users to create 3D models of buildings for Google Earth on the browser.,Service,2009,2013,2009 - 2013,4
202,Google Talk,"Often remembered as 'Gchat', Google Talk was a messaging service for both text and voice using XMPP.",Service,2005,2013,2005 - 2013,8
203,Google SMS,"Google SMS let you text questions- including weather, sports scores, word definitions, and more- to 466453 and get an answer back.",Service,2004,2013,2004 - 2013,9
204,Google Cloud Connect,Google Cloud Connect was a free cloud computing plugin for multiple versions of Microsoft Office that automatically stored and synchronized files to Google Docs.,Service,2008,2013,2008 - 2013,5
205,Picnik,"Picnik was an online photo editing service that allowed users to edit, style, crop, and resize images.",Service,2007,2013,2007 - 2013,6
206,Google Chart API,Google Chart API was an interactive Web service that created graphical charts from user-supplied data.,Service,2007,2012,2007 - 2012,5
207,Google Mini,Google Mini was a smaller version of the Google Search Appliance.,Hardware,2007,2012,2007 - 2012,5
208,AdSense for Feeds,AdSense for Feeds was an RSS-based service for AdSense that allowed publishers to advertise on their RSS Feeds.,Service,2008,2012,2008 - 2012,4
209,Google Listen,"Google Listen was an Android application that let you search, subscribe, download, and stream podcasts and web audio.",App,2009,2012,2009 - 2012,3
210,Google Refine,Google Refine was a standalone desktop application for data cleanup and transformation to other formats.,Service,2010,2012,2010 - 2012,2
211,Sparrow,Sparrow was an email client for OS X and iOS. Google acquired and then killed it.,App,2011,2012,2011 - 2012,1
212,Google Insights for Search,Google Insights for Search was a service used to provide data about terms people searched in Google and was merged into Google Trends.,Service,2008,2012,2008 - 2012,4
213,Postini,"Postini was an e-mail, Web security, and archiving service that filtered e-mail spam and malware (before it was delivered to a client's mail server), e-mail archiving.",Service,1999,2012,1999 - 2012,13
214,Google Video,"Google Video was a free video hosting service from Google, similar to YouTube, that allowed video clips to be hosted on Google servers and embedded onto other websites.",Service,2005,2012,2005 - 2012,7
215,Meebo,Meebo was a browser-based instant messaging application which supported multiple IM services.,Service,2005,2012,2005 - 2012,7
216,Google Commerce Search,Google Commerce Search was an enterprise search service that powered online retail stores and e-commerce websites that improved speed and accuracy.,Service,2009,2012,2009 - 2012,3
217,Needlebase,"Needlebase was a point-and-click tool for extracting, sorting and visualizing data from across pages around the web.",Service,2011,2012,2011 - 2012,1
218,Knol,Knol was a Google project that aimed to include user-written articles on a range of topics.,Service,2008,2012,2008 - 2012,4
219,Google Wave,Google Wave was an online communication and collaborative real-time editor tool.,Service,2009,2012,2009 - 2012,3
220,Google Flu Vaccine Finder,Google Flu Vaccine Finder was a maps mash-up that showed nearby vaccination places across the United States.,Service,2009,2012,2009 - 2012,3
221,Google One Pass,Google One Pass was an online store developed by Google for media publishers looking to sell subscriptions to their content.,Service,2011,2012,2011 - 2012,1
222,Google Related,Google Related was introduced to be an experimental navigation assistant launched to help people find useful and interesting information while surfing the web.,Service,2011,2012,2011 - 2012,1
223,Urchin,Urchin was a web statistics analysis program developed by Urchin Software Corporation. It analyzed web server log file content and displayed the traffic information on that website based upon the log data.,Service,2005,2012,2005 - 2012,7
224,Slide,Slide was a photo sharing software for social networking services such as MySpace and Facebook. Later Slide began to make applications and became the largest developer of third-party applications for Facebook.,Service,2005,2012,2005 - 2012,7
225,Google Friend Connect,Google Friend Connect was a free social networking site from 2008 to 2012.,Service,2008,2012,2008 - 2012,4
226,Jaiku,"Jaiku was a social networking, micro-blogging and lifestreaming service comparable to Twitter.",Service,2006,2012,2006 - 2012,6
227,Google Code Search,Google Code Search was a free beta product which allowed users to search for open-source code on the Internet.,Service,2006,2012,2006 - 2012,6
228,Google Health,Google Health was a personal health information centralization service that provided users a merged health record from multiple sources.,Service,2008,2012,2008 - 2012,4
229,Noop Programming Language,Noop was a project by Google engineers Alex Eagle and Christian Gruber aiming to develop a new programming language that attempted to blend the best features of 'old' and 'new' languages and best practices.,Service,2009,2011,2009 - 2011,2
230,Apture,Apture was a service that allowed publishers and bloggers to link and incorporate multimedia into a dynamic layer above their pages.,Service,2007,2011,2007 - 2011,4
231,Google Buzz,"Google Buzz was a social networking, microblogging and messaging tool that integrated with Gmail.",Service,2010,2011,2010 - 2011,1
232,Gears,Gears (aka Google Gears) was utility software that aimed to create more powerful web apps by adding offline storage and other additional features to web browsers.,Service,2007,2011,2007 - 2011,4
233,Google Notebook,Google Notebook allowed users to save and organize clips of information while conducting research online.,Service,2008,2011,2008 - 2011,3
234,ZygoteBody,"ZygoteBody, formerly Google Body, is a web application by Zygote Media Group that renders manipulable 3D anatomical models of the human body.",Service,2010,2011,2010 - 2011,1
235,Google PowerMeter,Google PowerMeter was a software project of Google's philanthropic arm that helped consumers track their home electricity usage.,Service,2009,2011,2009 - 2011,2
236,Google Squared,Google Squared was an information extraction and relationship extraction product that compiled structured data into a spreadsheet-like format.,Service,2009,2011,2009 - 2011,2
237,Google Sidewiki,Google Sidewiki was a browser sidebar tool that allowed users to contribute information to any web page.,Service,2009,2011,2009 - 2011,2
238,Aardvark,Aardvark was a social search service that connected users live with friends or friends-of-friends who were able to answer their questions.,Service,2009,2011,2009 - 2011,2
239,Google Pack,"Google Pack was a collection of software tools offered by Google to download in a single archive. It was announced at the 2006 Consumer Electronics Show, on January 6. Google Pack was only available for Windows XP, Windows Vista, and Windows 7.",Service,2006,2011,2006 - 2011,5
240,Google Desktop,"Google Desktop allowed local searches of a user's emails, computer files, music, photos, chats and Web pages viewed.",Service,2008,2011,2008 - 2011,3
241,Google Fast Flip,"Google Fast Flip was an online news aggregator, something of a high tech microfiche.",Service,2009,2011,2009 - 2011,2
242,Google Dictionary,Google Dictionary was a standalone online dictionary service.,Service,2009,2011,2009 - 2011,2
243,Google Labs,Google Labs was a technology playground used by Google to demonstrate and test new projects.,Service,2002,2011,2002 - 2011,9
244,Google Rebang,"Rebang was a Zeitgeist-like service centered on providing service to a Chinese audience. It was incorporated into Google Labs as of late 2010, and later discontinued along with its parent project.",Service,2007,2011,2007 - 2011,4
245,Google Directory,Google Directory was an Internet website directory organized into 14 main categories that allowed users to explore the web.,Service,2000,2011,2000 - 2011,11
246,Google Image Swirl,Google Image Swirl was an enhancement to the image search tool that came out of Google Labs. It is built on top of image search by grouping images with similar visual and semantic qualities.,Service,2009,2011,2009 - 2011,2
247,Google Real-Time Search,"Google Real-Time Search provided live search results from Twitter, Facebook, and news websites.",Service,2009,2011,2009 - 2011,2
248,Google Script Converter,"Google Script Converter was an online transliteration tool for transliteration (script conversion) between Hindi, Romanagari, and various other scripts. It's ended because Google shut down Google Labs and all associated projects.",Service,2009,2011,2009 - 2011,2
249,Google Sets,"Google Sets generates a list of items when users enter a few examples. For example, entering ""Green, Purple, Red"" emits the list ""Green, Purple, Red, Blue, Black, White, Yellow, Orange, Brown"".",Service,2002,2011,2002 - 2011,9
250,Google Specialized Search,"Google Specialized Search allowed users to search across a limited index of the web for specialized topics like Linux, Microsoft, and 'Uncle Sam.'",Service,1997,2011,1997 - 2011,14
251,Google Hotpot,"Google Hotpot was a local recommendation engine that allowed people to rate restaurants, hotels, etc. and share them with friends.",Service,2010,2011,2010 - 2011,1
252,Gizmo5,Gizmo5 was a VOIP communications network and a proprietary freeware soft phone for that network.,Service,2009,2011,2009 - 2011,2
253,Real Estate On Google Maps,Real Estate on Google Maps enabled users to find places for sale or rent in an area they were interested in.,Service,2009,2011,2009 - 2011,2
254,fflick,"fflick was a review, information, and news website that used information from aggregated Tweets to rate movies as positive or negative.",Service,2010,2011,2010 - 2011,1
255,Google Base,"Google Base was a database provided by Google into which any user can add almost any type of content, such as text, images, and structured information.",Service,2005,2010,2005 - 2010,5
256,GOOG-411,GOOG-411 (or Google Voice Local Search) was a telephone service that provided a speech-recognition-based business directory search.,Service,2007,2010,2007 - 2010,3
257,BumpTop,BumpTop was a skeuomorphic desktop environment app that simulates the normal behavior and physical properties of a real-world desk and enhances it with automatic tools to organize its contents.,Service,2008,2010,2008 - 2010,2
258,Google SearchWiki,SearchWiki was a Google Search feature which allowed logged-in users to annotate and re-order search results.,Service,2008,2010,2008 - 2010,2
259,YouTube Streams,YouTube Streams allowed users to watch a YouTube video together while chatting about the video in real-time.,Service,2006,2010,2006 - 2010,4
260,Marratech e-meetings,"Marratech was a Swedish company that made software for e-meetings (e.g., web conferencing, videoconferencing).",Service,1998,2010,1998 - 2010,12
261,Google Web APIs,The Google Web APIs were a free SOAP service for doing Google searches so that developers could use the results in almost any way they wanted.,Service,2002,2009,2002 - 2009,7
262,Google Ride Finder,"Google Ride Finder was a service that used GPS data to pinpoint and map the location of taxis, limos, and shuttle vehicles available for hire in 10 U.S. metro areas.",Service,2005,2009,2005 - 2009,4
263,Google Toolbar for Firefox,Google Toolbar for Firefox,Service,2005,2009,2005 - 2009,4
264,Google Radio Automation,Google Radio Automation was a hardware and software service used by radio operators to automate song playing among other radio station functions.,Hardware,2007,2009,2007 - 2009,2
265,On2 Flix Cloud,Flix Cloud was a high-capacity online video encoding service.,Service,2008,2009,2008 - 2009,1
266,Google Mashup Editor,"Google Mashup Editor was an online web mashup creation service with publishing, syntax highlighting, and debugging.",Service,2007,2009,2007 - 2009,2
267,Google Shared Stuff,Google Shared Stuff was a web page sharing system that allowed users to bookmark pages and share them.,Service,2007,2009,2007 - 2009,2
268,Grand Central,"Grand Central was a Voice over IP service that was acquired by Google, and turned into Google Voice.",Service,2005,2009,2005 - 2009,4
269,Dodgeball,"Dodgeball was a location-based social network where users texted their location to the service, and it notified them of friends and points of interest nearby.",Service,2003,2009,2003 - 2009,6
270,Google Audio Ads,Google Audio Ads service allowed advertisers to run campaigns on AM/FM radio stations in the US using the AdWords interface.,Service,2008,2009,2008 - 2009,1
271,Google Lively,Google Lively was a web-based virtual environment that provided a new way to access information.,Service,2008,2008,2008 - 2008,0
272,SearchMash,"SearchMash was an experimental, non-branded search engine that Google used to be able to play around with new search technologies, concepts, and interfaces.",Service,2006,2008,2006 - 2008,2
273,Google Page Creator,Google Page Creator was a website creation and hosting service that allowed users to build basic websites with no HTML knowledge.,Service,2006,2008,2006 - 2008,2
274,Send to Phone,Google Send to Phone was an add-on to send links and other information from Firefox to their phone by text message.,Service,2006,2008,2006 - 2008,2
275,Google Browser Sync,Google Browser Sync was a Firefox extension that synced information like passwords and browsing history.,Service,2006,2008,2006 - 2008,2
276,Hello,"Hello was a service by Picasa that let users share pictures ""like you're sitting side-by-side.""",Service,2002,2008,2002 - 2008,6
277,Google Web Accelerator,Google Web Accelerator was a client-side software that increased the load speed of web pages.,Service,2005,2008,2005 - 2008,3
278,Zeitgeist,"Google Zeitgeist was a weekly, monthly, and yearly snapshot in time of what people were searching for on Google all over the world.",Service,2001,2007,2001 - 2007,6
279,Google Click-to-Call,Google Click-to-Call allowed a user to speak directly over the phone to businesses found in search results.,Service,2004,2007,2004 - 2007,3
280,Google Video Player,The Google Video Player plays back files in Google's own Google Video File (.gvi) media format and supported playlists in 'Google Video Pointer' (.gvp) format.,Service,2006,2007,2006 - 2007,1
281,Google Video Marketplace,Google Video Marketplace was a service that included a store where videos could be bought and rented.,Service,2006,2007,2006 - 2007,1
282,Google Answers,Google Answers was an online knowledge market.,Service,2002,2006,2002 - 2006,4
283,Writely,Writely was a Web-based word processor.,Service,2005,2006,2005 - 2006,1
284,Google Public Service Search,"Google Public Service Search provided governmental, non-profit and academic organizational search results without ads.",Service,2002,2006,2002 - 2006,4
285,Google Deskbar,Google Deskbar was a small inset window on the Windows toolbar and allowed users to perform searches without leaving the desktop.,Service,2003,2006,2003 - 2006,3